mutation,day,mouse,tissue,n,pval,is_significant
m.5024,E8.5,embryo1,unknown,79,NA,NA
m.5024,E8.5,embryo2,unknown,47,NA,NA
m.5024,E8.5,embryo3,unknown,48,NA,NA
m.5024,P0,mouse1,brain,84,0.215,FALSE
m.5024,P0,mouse1,spleen,78,0.741,FALSE
m.5024,P0,mouse2,brain,88,0.267,FALSE
m.5024,P0,mouse2,spleen,64,0.148,FALSE
m.5024,P0,mouse3,brain,91,0.054,FALSE
m.5024,P0,mouse3,spleen,69,0.967,FALSE
m.5024,P6,mouse1,brain,72,0.645,FALSE
m.5024,P6,mouse1,spleen,81,0.007,FALSE
m.5024,P6,mouse2,brain,96,0.12,FALSE
m.5024,P6,mouse2,spleen,73,0.945,FALSE
m.5024,P6,mouse3,brain,85,0.068,FALSE
m.5024,P6,mouse3,spleen,56,0.173,FALSE
m.5024,P100,mouse1,brain,98,0.309,FALSE
m.5024,P100,mouse1,spleen,70,0.485,FALSE
m.5024,P100,mouse2,brain,93,0.095,FALSE
m.5024,P100,mouse2,spleen,80,0.367,FALSE
m.5024,P100,mouse3,brain,92,0.309,FALSE
m.5024,P100,mouse3,spleen,90,0.793,FALSE
m.5024,P365,mouse1,brain,89,0.323,FALSE
m.5024,P365,mouse1,spleen,92,0.634,FALSE
m.5024,P365,mouse2,brain,90,0.166,FALSE
m.5024,P365,mouse2,spleen,88,0.289,FALSE
m.5024,P365,mouse3,brain,89,0.389,FALSE
m.5024,P365,mouse3,spleen,92,0.316,FALSE
m.5019,E8.5,embryo1,unknown,47,NA,NA
m.5019,E8.5,embryo2,unknown,47,NA,NA
m.5019,E8.5,embryo3,unknown,47,NA,NA
m.5019,P0,mouse1,brain,92,0.157,FALSE
m.5019,P0,mouse1,spleen,90,0.105,FALSE
m.5019,P0,mouse2,brain,94,0.762,FALSE
m.5019,P0,mouse2,spleen,81,0.946,FALSE
m.5019,P0,mouse3,brain,92,0.305,FALSE
m.5019,P0,mouse3,spleen,87,0.059,FALSE
m.5019,P6,mouse1,brain,115,0.091,FALSE
m.5019,P6,mouse1,spleen,66,0.996,FALSE
m.5019,P6,mouse2,brain,85,0.452,FALSE
m.5019,P6,mouse2,spleen,92,0.417,FALSE
m.5019,P6,mouse3,brain,86,0.761,FALSE
m.5019,P6,mouse3,spleen,81,0.116,FALSE
m.5019,P100,mouse1,brain,138,0.255,FALSE
m.5019,P100,mouse1,spleen,89,0.028,FALSE
m.5019,P100,mouse2,brain,91,0.457,FALSE
m.5019,P100,mouse2,spleen,94,0.535,FALSE
m.5019,P100,mouse3,brain,93,0.226,FALSE
m.5019,P100,mouse3,spleen,87,0.239,FALSE
m.5019,P365,mouse1,brain,81,0.855,FALSE
m.5019,P365,mouse1,spleen,92,0.111,FALSE
m.5019,P365,mouse2,brain,91,0.191,FALSE
m.5019,P365,mouse2,spleen,91,0.105,FALSE
m.5019,P365,mouse3,brain,90,0.824,FALSE
m.5019,P365,mouse3,spleen,90,0.355,FALSE
